"id","site","date","obs","frcs","forecastor"
1384,"OSLO",1157112000,19.9,17,"JA"
1384,"OSLO",1157198400,20,16,"JK"
1384,"OSLO",1157284800,15.3,16,"PV"
1384,"OSLO",1157371200,19.6,16,"JK"
1384,"OSLO",1157457600,21,19,"LU"
1384,"OSLO",1157544000,15.9,15,"PB"
1384,"OSLO",1157630400,15.8,13,"PZ"
1384,"OSLO",1157716800,17.8,14,"JK"
1384,"OSLO",1157803200,20.7,18,"LX"
1384,"OSLO",1157889600,19.7,18,"JC"
1384,"OSLO",1157976000,18.6,23,"LU"
1384,"OSLO",1158062400,20.8,19,"PZ"
1384,"OSLO",1158148800,18.8,17,"LX"
1384,"OSLO",1158235200,21.5,20,"RC"
1384,"OSLO",1158321600,18.9,16,"RC"
1384,"OSLO",1158408000,12.7,21,"PV"
1384,"OSLO",1158494400,14.2,17,"JC"
1384,"OSLO",1158580800,17,15,"RC"
1384,"OSLO",1158667200,16.3,13,"JA"
1384,"OSLO",1158753600,18.5,14,"JK"
1384,"OSLO",1158840000,19.9,16,"ML"
1384,"OSLO",1158926400,19.3,18,"ML"
1384,"OSLO",1159012800,17.5,18,"JC"
1384,"OSLO",1159099200,15.6,16,"PZ"
1384,"OSLO",1159185600,18.8,18,"PB"
1384,"OSLO",1159272000,15.2,16,"LU"
1384,"OSLO",1159358400,15.9,17,"PZ"
1384,"OSLO",1159444800,15.4,12,"JC"
1384,"OSLO",1159531200,17.8,15,"RC"
1384,"OSLO",1159617600,13.3,14,"PV"
1384,"OSLO",1159704000,16.3,14,"PB"
1384,"OSLO",1159790400,13.3,11,"LX"
1384,"OSLO",1159876800,13.7,14,"LU"
1384,"OSLO",1159963200,13.8,13,"RC"
1384,"OSLO",1160049600,12,13,"LU"
1384,"OSLO",1160136000,9.8,8,"JK"
1384,"OSLO",1160222400,13.9,11,"PV"
1384,"OSLO",1160308800,16.4,13,"RC"
1384,"OSLO",1160395200,11.1,10,"JA"
1384,"OSLO",1160481600,14.2,14,"JC"
1384,"OSLO",1160568000,NA,8,"JK"
1384,"OSLO",1160654400,NA,9,"PB"
1384,"OSLO",1160740800,NA,12,"PV"
1384,"OSLO",1160827200,NA,13,"LU"
1384,"OSLO",1160913600,NA,10,"PZ"
1384,"OSLO",1.161e+09,NA,11,"JA"
1384,"OSLO",1161086400,NA,7,"RC"
1384,"OSLO",1161172800,NA,4,"JA"
1384,"OSLO",1161259200,NA,8,"PZ"
1384,"OSLO",1161345600,NA,8,"JK"
1384,"OSLO",1161432000,NA,9,"JA"
1384,"OSLO",1161518400,NA,10,"JC"
1384,"OSLO",1161604800,NA,10,"LX"
1384,"OSLO",1161691200,NA,8,"JC"
1384,"OSLO",1161777600,NA,6,"PB"
1384,"OSLO",1161864000,NA,1,"JK"
1384,"OSLO",1161950400,NA,7,"JA"
1384,"OSLO",1162036800,NA,3,"PV"
1384,"OSLO",1162123200,NA,0,"PZ"
1384,"OSLO",1162209600,NA,1,"JC"
1384,"OSLO",1162296000,0.4,1,"LU"
1384,"OSLO",1162382400,-1.8,-2,"RC"
1384,"OSLO",1162468800,2.2,-1,"AS"
1384,"OSLO",1162555200,3.9,0,"0"
1384,"OSLO",1162641600,4.9,0,"PV"
1384,"OSLO",1162728000,4.1,2,"JK"
1384,"OSLO",1162814400,10.1,6,"RC"
1384,"OSLO",1162900800,11.4,2,"PV"
1384,"OSLO",1162987200,7.8,5,"AS"
1384,"OSLO",1163073600,1.2,0,"LU"
1384,"OSLO",1163160000,0.2,2,"PV"
1384,"OSLO",1163246400,6,0,"MV"
1384,"OSLO",1163332800,3.7,-1,"JK"
1384,"OSLO",1163419200,0.2,6,"RC"
1384,"OSLO",1163505600,NA,0,"LX"
1384,"OSLO",1163592000,1.1,4,"RC"
1384,"OSLO",1163678400,7,6,"RC"
1384,"OSLO",1163764800,8.7,1,"JK"
1384,"OSLO",1163851200,8.1,5,"JC"
1384,"OSLO",1163937600,4.1,2,"JK"
1384,"OSLO",1164024000,5.4,6,"RC"
1384,"OSLO",1164110400,5.6,5,"JA"
1384,"OSLO",1164196800,4.3,1,"PB"
1384,"OSLO",1164283200,4.6,1,"JC"
1384,"OSLO",1164369600,5.6,4,"PV"
1384,"OSLO",1164456000,9,8,"JA"
1384,"OSLO",1164542400,9.2,5,"JK"
1384,"OSLO",1164628800,3.4,3,"LU"
1384,"OSLO",1164715200,8.8,9,"LU"
1384,"OSLO",1164801600,8.6,5,"JC"
1384,"OSLO",1164888000,8.4,7,"JA"
1384,"OSLO",1164974400,8.8,5,"LU"
1384,"OSLO",1165060800,8.4,6,"LU"
1384,"OSLO",1165147200,6.3,4,"LU"
1384,"OSLO",1165233600,7,6,"RC"
1384,"OSLO",1165320000,6.8,4,"JK"
1384,"OSLO",1165406400,5.3,4,"PB"
1384,"OSLO",1165492800,4.3,7,"JA"
1384,"OSLO",1165579200,7.1,4,"LX"
1384,"OSLO",1165665600,5.4,1,"PZ"
1384,"OSLO",1165752000,3.1,5,"RC"
1384,"OSLO",1165838400,9.2,3,"JK"
1384,"OSLO",1165924800,3.5,1,"PV"
1384,"OSLO",1166011200,4.8,2,"JK"
1384,"OSLO",1166097600,8.2,5,"LX"
1384,"OSLO",1166184000,5.3,5,"LU"
1384,"OSLO",1166270400,2.4,0,"LU"
1384,"OSLO",1166356800,-2.9,0,"PV"
1384,"OSLO",1166443200,-2.8,-2,"PZ"
1384,"OSLO",1166529600,0.5,-2,"LX"
1384,"OSLO",1166616000,-0.2,1,"PV"
1384,"OSLO",1166702400,-5.3,5,"RC"
1384,"OSLO",1166788800,2.3,0,"PZ"
1384,"OSLO",1166875200,6.6,0,"AS"
1384,"OSLO",1166961600,5.3,4,"RC"
1384,"OSLO",1167048000,-2.5,1,"JC"
1384,"OSLO",1167134400,-0.4,4,"LU"
1384,"OSLO",1167220800,1.2,0,"AS"
1384,"OSLO",1167307200,-0.7,0,"AS"
1384,"OSLO",1167393600,-3.4,-1,"PB"
1384,"OSLO",1167480000,5.5,4,"RC"
1384,"OSLO",1167566400,1.9,0,"JK"
2469,"STOCKHOLM",1157112000,21.7,20,"JA"
2469,"STOCKHOLM",1157198400,20.7,18,"JK"
2469,"STOCKHOLM",1157284800,18.5,15,"PV"
2469,"STOCKHOLM",1157371200,19.1,17,"JK"
2469,"STOCKHOLM",1157457600,19.5,17,"LU"
2469,"STOCKHOLM",1157544000,18.3,18,"PB"
2469,"STOCKHOLM",1157630400,NA,17,"PZ"
2469,"STOCKHOLM",1157716800,12.9,14,"JK"
2469,"STOCKHOLM",1157803200,18.7,17,"LX"
2469,"STOCKHOLM",1157889600,18.9,18,"JC"
2469,"STOCKHOLM",1157976000,19,22,"LU"
2469,"STOCKHOLM",1158062400,22.4,21,"PZ"
2469,"STOCKHOLM",1158148800,22.2,21,"LX"
2469,"STOCKHOLM",1158235200,22.6,22,"RC"
2469,"STOCKHOLM",1158321600,15,15,"RC"
2469,"STOCKHOLM",1158408000,16.6,21,"PV"
